epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.521,2.61484,19.4797,1.07333,0,0,0,0,1.7977,4.70347,0.86066,0.0001428,0.0001428,0.0001428
2,7.76158,2.48081,11.5799,0.90471,0,0,0,0,1.98777,4.51681,0.85764,0.000291291,0.000291291,0.000291291
3,10.9513,2.21269,8.94874,0.87657,0,0,0,0,1.64784,4.33899,0.8218,0.000438297,0.000438297,0.000438297
4,14.1524,2.25067,8.56446,0.86199,0.00532,0.19167,0.02192,0.01334,1.6364,4.09005,0.82411,0.00058382,0.00058382,0.00058382
5,17.3102,2.08305,8.62084,0.86231,0.01467,0.47976,0.09955,0.06688,1.7259,3.64517,0.84488,0.000699863,0.000699863,0.000699863
6,20.3837,1.94247,8.38367,0.83468,0.84845,0.05689,0.17604,0.1069,1.59895,3.17896,0.82788,0.000696328,0.000696328,0.000696328
7,23.4786,1.78009,7.34605,0.83027,0.37099,0.11951,0.19555,0.11481,1.5355,2.66279,0.81965,0.000692794,0.000692794,0.000692794
8,26.5873,1.74845,6.56824,0.8317,0.12472,0.16,0.20588,0.12218,1.56091,2.36606,0.82146,0.00068926,0.00068926,0.00068926
9,29.7334,1.7458,7.07206,0.82898,0.09156,0.30593,0.20859,0.12202,1.54485,2.20791,0.81815,0.000685726,0.000685726,0.000685726
10,32.7545,1.75692,7.32668,0.8396,0.12649,0.46286,0.2132,0.12844,1.53883,2.16227,0.8164,0.000682191,0.000682191,0.000682191
11,35.8203,1.76474,6.45644,0.84346,0.11456,0.35643,0.18895,0.10553,1.63934,2.31223,0.83047,0.000678657,0.000678657,0.000678657
12,38.8176,1.73992,6.63289,0.83743,0.14641,0.3947,0.18291,0.09978,1.61728,2.37646,0.83115,0.000675123,0.000675123,0.000675123
13,41.9069,1.78644,6.41218,0.84274,0.1107,0.58917,0.16625,0.09479,1.6025,2.37946,0.82492,0.000671588,0.000671588,0.000671588
14,45.0543,1.67797,6.81151,0.83004,0.17059,0.47857,0.16675,0.10678,1.40965,2.29625,0.81517,0.000668054,0.000668054,0.000668054
15,48.2046,1.72494,7.05373,0.84174,0.10512,0.59952,0.1633,0.10162,1.38424,2.16855,0.81425,0.00066452,0.00066452,0.00066452
16,51.3541,1.73519,6.60867,0.8253,0.1014,0.59255,0.15788,0.09766,1.41465,2.12054,0.81837,0.000660986,0.000660986,0.000660986
17,54.4712,1.70242,5.88475,0.83226,0.12247,0.65881,0.16526,0.09748,1.50836,2.0613,0.82273,0.000657451,0.000657451,0.000657451
18,57.5871,1.60765,5.6525,0.81669,0.11975,0.61727,0.17799,0.10323,1.44595,2.01419,0.82144,0.000653917,0.000653917,0.000653917
19,60.6843,1.67583,5.89961,0.82465,0.12322,0.56174,0.18124,0.11555,1.36422,2.00168,0.81743,0.000650383,0.000650383,0.000650383
20,63.8311,1.64876,5.63873,0.81869,0.12491,0.56878,0.18434,0.11606,1.36552,1.9921,0.81851,0.000646848,0.000646848,0.000646848
21,67.0215,1.57638,5.54746,0.82828,0.12972,0.47786,0.19571,0.11397,1.50403,2.06027,0.82549,0.000643314,0.000643314,0.000643314
22,70.1017,1.55141,5.80268,0.81807,0.15215,0.47629,0.20137,0.11604,1.49154,1.94869,0.82499,0.00063978,0.00063978,0.00063978
23,73.1853,1.54551,5.25668,0.83467,0.14047,0.61611,0.2096,0.12743,1.35237,1.95755,0.81739,0.000636245,0.000636245,0.000636245
24,76.2965,1.5269,5.75185,0.81768,0.14777,0.61838,0.24173,0.14954,1.33835,2.02082,0.81438,0.000632711,0.000632711,0.000632711
25,79.4205,1.49742,6.03149,0.82389,0.14392,0.60071,0.23592,0.1453,1.36636,1.97157,0.81553,0.000629177,0.000629177,0.000629177
26,82.5373,1.46173,5.27188,0.81557,0.13718,0.5837,0.21678,0.1312,1.45028,1.96162,0.82376,0.000625642,0.000625642,0.000625642
27,85.6381,1.52004,5.57379,0.82855,0.15952,0.55025,0.23916,0.14611,1.40611,1.91167,0.81617,0.000622108,0.000622108,0.000622108
28,88.7299,1.47441,5.04278,0.82844,0.152,0.62333,0.24986,0.14706,1.401,1.90678,0.81461,0.000618574,0.000618574,0.000618574
29,91.804,1.57566,5.4975,0.83404,0.1712,0.63533,0.27948,0.16436,1.35817,1.88542,0.81535,0.00061504,0.00061504,0.00061504
30,94.8951,1.56992,5.56334,0.82233,0.17238,0.56165,0.29684,0.17673,1.31714,1.88924,0.81817,0.000611505,0.000611505,0.000611505
31,98.0272,1.55256,5.00697,0.827,0.20825,0.55309,0.29346,0.18583,1.28777,1.88139,0.814,0.000607971,0.000607971,0.000607971
32,101.154,1.47372,5.02181,0.81685,0.209,0.55288,0.27723,0.17565,1.26741,1.85843,0.8092,0.000604437,0.000604437,0.000604437
33,104.307,1.4383,5.09593,0.80653,0.21467,0.53165,0.31636,0.19277,1.29344,1.8468,0.80819,0.000600902,0.000600902,0.000600902
34,107.443,1.33646,4.73877,0.81338,0.23682,0.63855,0.31916,0.19908,1.35268,1.86664,0.81218,0.000597368,0.000597368,0.000597368
35,110.588,1.51159,4.81396,0.82093,0.24449,0.61542,0.31566,0.19694,1.31312,1.84051,0.80828,0.000593834,0.000593834,0.000593834
36,113.704,1.53148,4.99414,0.82203,0.23717,0.59608,0.32599,0.201,1.30353,1.80261,0.81102,0.0005903,0.0005903,0.0005903
37,116.861,1.43329,4.59931,0.80638,0.23046,0.57405,0.31613,0.19227,1.31333,1.73375,0.81374,0.000586765,0.000586765,0.000586765
38,119.978,1.34894,4.10268,0.81521,0.24126,0.58152,0.3228,0.20145,1.31596,1.73005,0.81357,0.000583231,0.000583231,0.000583231
