epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.3531,0.73745,0.17778,0.21805,0.4737,0.97669,0.99794,1,0.995,0.79822,0.99794,1,0.995,0.995,0.80742,0.08078,0.02381,0.35525,0.95893,0.00014,0.00014,0.00014
2,19.715,0.70421,0.18015,0.24538,0.45666,0.95858,0.99794,1,0.995,0.78521,0.99794,1,0.995,0.995,0.86116,0.09054,0.01601,0.35439,0.98437,0.00029703,0.00029703,0.00029703
3,22.4654,0.77513,0.19564,0.22192,0.51038,1.00086,0.99782,1,0.995,0.78679,0.99782,1,0.995,0.99222,0.87019,0.10776,0.01703,0.35556,0.98896,0.000450892,0.000450892,0.000450892
4,25.2507,0.75958,0.20378,0.22264,0.47975,0.97254,0.99697,1,0.995,0.80899,0.99697,1,0.995,0.995,0.87019,0.08816,0.01576,0.36367,0.9804,0.000601586,0.000601586,0.000601586
5,30.2979,0.72674,0.17966,0.19393,0.48664,0.99507,0.99544,1,0.995,0.76842,0.99544,1,0.995,0.99129,0.9055,0.07842,0.01411,0.36585,0.98391,0.000749112,0.000749112,0.000749112
6,34.7678,0.79959,0.18919,0.16858,0.51518,0.96916,0.99654,1,0.995,0.7836,0.99654,1,0.995,0.995,0.89158,0.1101,0.01309,0.36283,0.97788,0.00089347,0.00089347,0.00089347
7,37.096,0.78883,0.19069,0.21636,0.54429,0.99996,0.99742,1,0.995,0.7633,0.99742,1,0.995,0.995,0.88016,0.13875,0.01492,0.37527,0.98091,0.00103466,0.00103466,0.00103466
8,39.92,0.74656,0.25111,0.21014,0.50112,0.97255,0.99773,1,0.995,0.76133,0.99773,1,0.995,0.995,0.90325,0.10037,0.01548,0.40444,0.99787,0.00117268,0.00117268,0.00117268
9,43.2138,0.77435,0.1939,0.23637,0.51516,1.01029,0.99723,1,0.995,0.7724,0.99723,1,0.995,0.99195,0.87602,0.13134,0.0168,0.37795,1.00139,0.00130754,0.00130754,0.00130754
10,45.0627,0.78812,0.26057,0.23204,0.53779,1.04622,0.99684,1,0.995,0.74841,0.99684,1,0.995,0.98649,0.88351,0.13455,0.02288,0.41627,1.00299,0.00143922,0.00143922,0.00143922
11,48.194,0.79847,0.19966,0.22701,0.53328,1.00538,0.99281,1,0.995,0.76109,0.99281,1,0.995,0.99213,0.87883,0.12681,0.00783,0.44667,0.99772,0.00156774,0.00156774,0.00156774
12,50.1475,0.82854,0.22604,0.21802,0.54913,1.00706,0.99457,1,0.995,0.78227,0.99457,1,0.995,0.99201,0.85348,0.14071,0.00439,0.42241,0.97515,0.00169309,0.00169309,0.00169309
13,52.2037,0.78937,0.24698,0.22049,0.54076,1.012,0.99446,1,0.995,0.78592,0.99446,1,0.995,0.99146,0.87089,0.12464,0.00549,0.41725,0.98462,0.0017624,0.0017624,0.0017624
14,54.0323,0.79377,0.23891,0.19794,0.50508,1.0172,0.99792,1,0.995,0.77066,0.99792,1,0.995,0.99002,0.90389,0.17522,0.00893,0.47657,1.00029,0.0017426,0.0017426,0.0017426
15,56.0002,0.86686,0.20899,0.22002,0.52396,1.02043,0.96627,1,0.99403,0.77058,0.96627,1,0.99403,0.97842,0.8743,0.16482,0.00982,0.4554,0.98714,0.0017228,0.0017228,0.0017228
16,58.0306,0.80621,0.16329,0.21163,0.54275,1.00542,1,0.99081,0.995,0.78972,1,0.99081,0.995,0.97243,0.88421,0.21125,0.01101,0.47786,0.997,0.001703,0.001703,0.001703
17,60.1972,0.8284,0.21989,0.20245,0.53912,1.02324,0.9972,1,0.995,0.75845,0.9972,1,0.995,0.995,0.92576,0.12202,0.00966,0.43433,1.01503,0.0016832,0.0016832,0.0016832
18,61.9503,0.80402,0.20952,0.24077,0.4961,1.01172,0.99722,1,0.995,0.7811,0.99722,1,0.995,0.98343,0.8294,0.17248,0.01526,0.40157,0.98828,0.0016634,0.0016634,0.0016634
19,63.7282,0.77812,0.21566,0.24099,0.50554,1.00353,0.99506,1,0.995,0.76255,0.99506,1,0.995,0.995,0.86388,0.10577,0.01029,0.41689,1.00527,0.0016436,0.0016436,0.0016436
20,65.1466,0.82844,0.19266,0.22464,0.56883,1.01153,0.97574,1,0.995,0.75489,0.97574,1,0.995,0.995,0.927,0.11698,0.01078,0.43713,1.01924,0.0016238,0.0016238,0.0016238
21,66.7546,0.78144,0.20866,0.2131,0.52413,0.98937,0.99518,1,0.995,0.75247,0.99518,1,0.995,0.98837,0.91217,0.14292,0.01431,0.4612,1.0102,0.001604,0.001604,0.001604
22,68.583,0.82333,0.23619,0.20346,0.5669,1.02917,0.9974,1,0.995,0.77293,0.9974,1,0.995,0.98372,0.9229,0.13904,0.01368,0.42243,1.01958,0.0015842,0.0015842,0.0015842
23,70.4111,0.81415,0.20883,0.21596,0.53796,1.02891,0.99779,1,0.995,0.73486,0.99779,1,0.995,0.99135,0.96217,0.11568,0.02021,0.40021,1.03235,0.0015644,0.0015644,0.0015644
24,71.9107,0.76622,0.21888,0.20476,0.5638,1.00459,0.99785,1,0.995,0.75053,0.99785,1,0.995,0.995,0.91261,0.08996,0.0257,0.4069,1.00737,0.0015446,0.0015446,0.0015446
25,73.4811,0.76312,0.19555,0.19625,0.51473,0.99688,0.99767,1,0.995,0.74076,0.99767,1,0.995,0.995,0.85396,0.10824,0.02056,0.40664,0.98766,0.0015248,0.0015248,0.0015248
26,74.9559,0.7673,0.2654,0.1752,0.53686,1.00327,0.99775,1,0.995,0.77882,0.99775,1,0.995,0.995,0.85437,0.11197,0.02226,0.41252,0.99865,0.001505,0.001505,0.001505
27,76.4979,0.80161,0.2597,0.21428,0.55959,1.01364,0.99799,1,0.995,0.77999,0.99799,1,0.995,0.995,0.87134,0.10779,0.02924,0.43297,1.00186,0.0014852,0.0014852,0.0014852
28,78.0734,0.79872,0.21621,0.18976,0.52961,1.00102,0.99802,1,0.995,0.78761,0.99802,1,0.995,0.995,0.86295,0.0879,0.03325,0.39141,0.98859,0.0014654,0.0014654,0.0014654
29,79.5976,0.78633,0.2079,0.22827,0.53745,1.0258,0.99791,1,0.995,0.76243,0.99791,1,0.995,0.995,0.93814,0.11423,0.04131,0.41378,1.00155,0.0014456,0.0014456,0.0014456
30,81.1202,0.78422,0.16274,0.19022,0.50676,1.03366,0.99762,1,0.995,0.77416,0.99762,1,0.995,0.995,0.94028,0.07785,0.02125,0.42249,1.00099,0.0014258,0.0014258,0.0014258
